name,state,pop,area,cases,case_rate
New York,New York,1628706,22,63306,389
Blaine,Idaho,23021,2643,405,176
Rockland,New York,325789,173,4872,150
Westchester,New York,967506,430,13081,135
Richmond,Virginia,9023,59,96,106
Orleans,Louisiana,390144,169,3966,102
Nassau,New York,1356924,284,13346,98
St John the Baptist,Louisiana,42837,213,338,79
Suffolk,New York,1476601,912,11370,77
Dougherty,Georgia,87956,328,636,72
Orange,New York,384940,811,2741,71
St James,Louisiana,21096,241,150,71
Jefferson,Louisiana,432493,295,3008,70
Bergen,New Jersey,932202,233,5760,62
Terrell,Georgia,8531,335,52,61
Early,Georgia,10190,512,62,61
Eagle,Colorado,55127,1684,333,60
Passaic,New Jersey,501826,184,2856,57
Summit,Utah,42145,1871,230,55
Union,New Jersey,556341,102,2916,52
Hudson,New Jersey,672391,46,3491,52
St Bernard,Louisiana,47244,377,239,51
Gunnison,Colorado,17462,3239,88,50
St Charles,Louisiana,53100,279,252,47
Essex,New Jersey,798975,126,3584,45
Lee,Georgia,29992,355,128,43
Wayne,Michigan,1749343,612,6762,39
Plaquemines,Louisiana,23197,779,86,37
Iberville,Louisiana,32511,618,119,37
Monmouth,New Jersey,618795,468,2065,33
Ocean,New Jersey,607186,628,2003,33
Morris,New Jersey,491845,460,1618,33
Dutchess,New York,294218,795,938,32
Middlesex,New Jersey,825062,308,2578,31
Suffolk,Massachusetts,803907,58,2429,30
Fairfield,Connecticut,943332,624,2824,30
Decatur,Indiana,26559,372,79,30
Wilkinson,Mississippi,8630,678,25,29
Putnam,New York,98320,230,283,29
Monroe,Pennsylvania,170271,608,484,28
Coffey,Kansas,8179,626,23,28
Sumter,Georgia,29524,482,80,27
Chambers,Alabama,33254,596,87,26
Cleburne,Arkansas,24919,553,65,26
Mineral,Colorado,769,875,2,26
De Soto,Louisiana,27463,875,71,26
Sullivan,New York,75432,968,193,26
Assumption,Louisiana,21891,338,56,26
Toole,Montana,4736,1915,12,25
Baca,Colorado,3581,2554,9,25
Caddo,Louisiana,240204,878,598,25
Navajo,Arizona,110924,9950,274,25
Clay,Georgia,2834,195,7,25
Mitchell,Georgia,21863,512,52,24
Randolph,Georgia,6778,428,16,24
Somerset,New Jersey,328934,301,765,23
Ascension,Louisiana,126604,289,284,22
Lafourche,Louisiana,97614,1068,217,22
Oakland,Michigan,1257584,867,2785,22
Franklin,Indiana,22758,384,50,22
Lehigh,Pennsylvania,369318,345,804,22
Washington,Iowa,21965,568,47,21
Pitkin,Colorado,17767,970,38,21
Kershaw,South Carolina,66551,726,141,21
Macomb,Michigan,873972,479,1838,21
Wasatch,Utah,34091,1175,70,21
St Tammany,Louisiana,260419,845,532,20
Luzerne,Pennsylvania,317417,890,648,20
Berkshire,Massachusetts,124944,926,253,20
Northampton,North Carolina,19483,536,38,20
Northampton,Pennsylvania,305285,369,588,19
Philadelphia,Pennsylvania,1584064,134,3008,19
Snohomish,Washington,822083,2087,1503,18
Ripley,Indiana,28324,446,51,18
Calhoun,Georgia,6189,280,11,18
Essex,Massachusetts,789034,492,1400,18
Miller,Georgia,5718,282,10,17
Pike,Pennsylvania,55809,544,97,17
Warren,New Jersey,105267,356,182,17
Worth,Georgia,20247,570,35,17
Plymouth,Massachusetts,521202,659,898,17
Tama,Iowa,16854,721,29,17
Norfolk,Massachusetts,706775,396,1199,17
Sussex,New Jersey,140488,519,236,17
Ulster,New York,177573,1124,290,16
Marion,Indiana,964582,396,1570,16
Martin,Minnesota,19683,712,32,16
Washington,Louisiana,46194,669,75,16
Summit,Colorado,31011,608,50,16
Mercer,New Jersey,367430,224,586,16
Sumner,Tennessee,191283,529,301,16
Hampden,Massachusetts,466372,617,733,16
Tunica,Mississippi,9632,454,15,16
Barnstable,Massachusetts,212990,393,330,15
Teton,Wyoming,23464,3995,36,15
Middlesex,Massachusetts,1611699,817,2468,15
Donley,Texas,3278,926,5,15
Allen,Louisiana,25627,761,39,15
West Baton Rouge,Louisiana,26465,192,40,15
Turner,Georgia,7985,285,12,15
Chittenden,Vermont,163774,536,245,15
Bartow,Georgia,107738,459,160,15
Castro,Texas,7530,894,11,15
James City,Virginia,76523,142,111,15
Cook,Illinois,5150233,945,7439,14
Island,Washington,85141,208,122,14
East Baton Rouge,Louisiana,440059,455,621,14
Tippah,Mississippi,22015,457,31,14
Kimball,Nebraska,3632,951,5,14
Hunterdon,New Jersey,124371,427,171,14
Coconino,Arizona,143476,18618,196,14
Washtenaw,Michigan,367601,705,501,14
Franklin,Massachusetts,70180,699,95,14
Clarendon,South Carolina,33745,606,45,13
Slope,North Dakota,750,1214,1,13
St Mary,Louisiana,49348,555,65,13
Baker,Georgia,3038,341,4,13
Mono,California,14444,3048,19,13
Lincoln,Idaho,5366,1201,7,13
Terrebonne,Louisiana,110461,1231,143,13
King,Washington,2252782,2115,2898,13
District of Columbia,District of Columbia,705749,68,902,13
Claiborne,Louisiana,15670,754,20,13
Jennings,Indiana,27735,376,35,13
Skagit,Washington,129205,1731,161,12
Carroll,Georgia,119992,499,149,12
Mountrail,North Dakota,10545,1825,13,12
Coahoma,Mississippi,22124,552,27,12
Hinsdale,Colorado,820,1117,1,12
Clark,Arkansas,22320,866,27,12
Van Buren,Arkansas,16545,708,20,12
New Haven,Connecticut,854757,604,1024,12
St Martin,Louisiana,53431,737,64,12
Montgomery,Pennsylvania,830915,483,982,12
Allamakee,Iowa,13687,639,16,12
Weld,Colorado,324492,3987,379,12
West Feliciana,Louisiana,15568,403,18,12
Yakima,Washington,250873,4295,289,12
East Feliciana,Louisiana,19135,453,22,11
Perry,Missouri,19136,474,22,11
Ouachita,Louisiana,153279,610,176,11
Genesee,Michigan,405813,636,464,11
Schley,Georgia,5257,166,6,11
Beadle,South Dakota,18453,1258,21,11
Webster,Mississippi,9689,420,11,11
Dooly,Georgia,13390,391,15,11
Crisp,Georgia,22372,272,25,11
Bolivar,Mississippi,30628,876,34,11
Worcester,Massachusetts,830622,1510,915,11
San Miguel,Colorado,8179,1286,9,11
Madison,New York,70941,654,78,11
Webster,Louisiana,38340,593,42,11
Mahoning,Ohio,228683,411,250,11
Routt,Colorado,25638,2362,28,11
Delaware,Pennsylvania,566747,183,616,11
Perry,Mississippi,11973,647,13,11
Milwaukee,Wisconsin,945726,241,1023,11
Davidson,Tennessee,694144,504,741,11
Bristol,Massachusetts,565217,553,601,11
Wilcox,Alabama,10373,888,11,11
Burlington,New Jersey,445349,798,469,11
Greer,Oklahoma,5712,639,6,11
Montour,Pennsylvania,18230,130,19,10
Montgomery,Mississippi,9775,406,10,10
Litchfield,Connecticut,180333,920,182,10
Colquitt,Georgia,45600,544,46,10
Williamson,Tennessee,238412,582,239,10
Adams,Washington,19983,1924,20,10
Holmes,Mississippi,17010,756,17,10
Bossier,Louisiana,127039,840,126,10
Seminole,Georgia,8090,235,8,10
St Louis city,Missouri,300576,61,297,10
Denver,Colorado,727211,153,716,10
Matagorda,Texas,36643,1100,36,10
Lake,Illinois,696535,443,683,10
Pawnee,Oklahoma,16376,567,16,10
Choctaw,Mississippi,8210,418,8,10
Iberia,Louisiana,69830,574,68,10
Tangipahoa,Louisiana,134758,791,131,10
Johnson,Indiana,158167,320,153,10
Pepin,Wisconsin,7287,231,7,10
Albany,New York,305506,522,293,10
Columbia,New York,59461,634,57,10
Hendricks,Indiana,170311,406,163,10
Woodson,Kansas,3138,497,3,10
Lee,South Carolina,16828,410,16,10
Camden,New Jersey,506471,221,481,9
Franklin,Louisiana,20015,624,19,9
Catahoula,Louisiana,9494,708,9,9
Johnson,Wyoming,8445,4154,8,9
Oldham,Texas,2112,1500,2,9
Burke,North Dakota,2115,1103,2,9
Lafayette,Louisiana,244390,268,229,9
Chaffee,Colorado,20356,1013,19,9
Addison,Vermont,36777,766,34,9
Chautauqua,Kansas,3250,638,3,9
Fremont,Wyoming,39261,9183,36,9
Washington,Nebraska,20729,389,19,9
Tompkins,New York,102180,474,93,9
Camas,Idaho,1106,1074,1,9
Broward,Florida,1952778,1209,1765,9
Wyandotte,Kansas,165429,151,149,9
Avoyelles,Louisiana,40144,832,36,9
Crittenden,Arkansas,47955,609,43,9
Grundy,Tennessee,13427,360,12,9
Otsego,Michigan,24668,514,22,9
Alpine,California,1129,738,1,9
Fulton,Georgia,1063937,526,941,9
Gallatin,Montana,114434,2602,101,9
Erie,New York,918702,1042,808,9
Chickasaw,Mississippi,17103,501,15,9
St Louis,Missouri,994205,507,864,9
Whatcom,Washington,229247,2106,199,9
Union,Louisiana,22108,876,19,9
Van Buren,Iowa,7044,484,6,9
Morgan,Indiana,70489,403,60,9
Will,Illinois,690743,836,582,8
Walthall,Mississippi,14286,403,12,8
Tift,Georgia,40644,258,34,8
Chenango,New York,47207,893,39,8
Lauderdale,Mississippi,74125,703,61,8
Bucks,Pennsylvania,628270,604,517,8
Pierce,Georgia,19465,316,16,8
Hartford,Connecticut,891720,735,726,8
Hillsdale,Michigan,45605,598,37,8
Floyd,Georgia,98498,509,79,8
Carroll,Maryland,168447,447,134,8
Lafayette,Missouri,32708,628,26,8
Nowata,Oklahoma,10076,565,8,8
Lawrence,Indiana,45370,449,36,8
Jefferson,Arkansas,66824,870,53,8
